name,category
TAD-USD,crypto
AAC-USD,crypto
POA-USD,crypto
QCH-USD,crypto
GALO-USD,crypto
USDX-USD,crypto
SAUBER-USD,crypto
KWT-USD,crypto
WORLD-USD,crypto
AM-USD,crypto
DOKI-USD,crypto
MX-USD,crypto
CLOAK-USD,crypto
PAINT-USD,crypto
BITD-USD,crypto
PXL-USD,crypto
DFSG-USD,crypto
GS-USD,crypto
IETH-USD,crypto
FTX-USD,crypto
BNU-USD,crypto
PGT-USD,crypto
KCASH-USD,crypto
DDD-USD,crypto
NAME-USD,crypto
MOMA-USD,crypto
ZUSD-USD,crypto
AYA-USD,crypto
ATP-USD,crypto
GOT-USD,crypto
DWEB-USD,crypto
POR-USD,crypto
RYO-USD,crypto
WINGS-USD,crypto
BAC-USD,crypto
EVED-USD,crypto
FAM-USD,crypto
CURE-USD,crypto
SAM-USD,crypto
SNB-USD,crypto
SIGN-USD,crypto
VLD-USD,crypto
LTHN-USD,crypto
FSW-USD,crypto
NTK-USD,crypto
IOC-USD,crypto
DEFI++-USD,crypto
CORN-USD,crypto
SDT-USD,crypto
BXX-USD,crypto
PEPS-USD,crypto
vBCH-USD,crypto
GLEEC-USD,crypto
OK-USD,crypto
XLA-USD,crypto
WCT-USD,crypto
SIN-USD,crypto
SAKE-USD,crypto
SNET-USD,crypto
KNDC-USD,crypto
XPC-USD,crypto
XMX-USD,crypto
CHEEMS-USD,crypto
ASAP-USD,crypto
BLAST-USD,crypto
AIRI-USD,crypto
SPFC-USD,crypto
SHARD-USD,crypto
TPAY-USD,crypto
IBFK-USD,crypto
BXC-USD,crypto
BCA-USD,crypto
ORS-USD,crypto
PAT-USD,crypto
BOMB-USD,crypto
FRKT-USD,crypto
X8X-USD,crypto
XBC-USD,crypto
KANGAL-USD,crypto
NFY-USD,crypto
SWM-USD,crypto
RVC-USD,crypto
DEPAY-USD,crypto
IOEN-USD,crypto
ETNA-USD,crypto
ARGON-USD,crypto
MCT-USD,crypto
MTLX-USD,crypto
LOBS-USD,crypto
LOOT-USD,crypto
DVP-USD,crypto
PYM-USD,crypto
CVN-USD,crypto
MVP-USD,crypto
KTLYO-USD,crypto
ZER-USD,crypto
KUE-USD,crypto
EDR-USD,crypto
YAXIS-USD,crypto
STEP-USD,crypto
AMON-USD,crypto
ROAD-USD,crypto
BCUG-USD,crypto
BRY-USD,crypto
STZEN-USD,crypto
HMQ-USD,crypto
KP4R-USD,crypto
LANA-USD,crypto
TAP-USD,crypto
MGO-USD,crypto
MILK2-USD,crypto
ELAND-USD,crypto
PST-USD,crypto
CANN-USD,crypto
MXX-USD,crypto
UFR-USD,crypto
N1-USD,crypto
IXC-USD,crypto
LCMS-USD,crypto
NCT-USD,crypto
VEIL-USD,crypto
PPP-USD,crypto
GFI-USD,crypto
KRB-USD,crypto
EVX-USD,crypto
QDAO-USD,crypto
MINTME-USD,crypto
ZCL-USD,crypto
SCR-USD,crypto
GEAR-USD,crypto
HGOLD-USD,crypto
HYDRO-USD,crypto
PHR-USD,crypto
PXC-USD,crypto
GEO-USD,crypto
LDFI-USD,crypto
COT-USD,crypto
ONX-USD,crypto
PINK-USD,crypto
BITS-USD,crypto
PPBLZ-USD,crypto
TUBE-USD,crypto
CHAT-USD,crypto
GARD-USD,crypto
SKB-USD,crypto
ENG-USD,crypto
ETHV-USD,crypto
TRST-USD,crypto
BELLY-USD,crypto
AVXT-USD,crypto
SS-USD,crypto
ROOM-USD,crypto
CRW-USD,crypto
RELI-USD,crypto
RBLX-USD,crypto
SIG-USD,crypto
NAVI-USD,crypto
ZORA-USD,crypto
EOSDAC-USD,crypto
STV-USD,crypto
SXUT-USD,crypto
NBX-USD,crypto
CPO-USD,crypto
MNTT-USD,crypto
BAG-USD,crypto
ALN-USD,crypto
PTOY-USD,crypto
KAMPAY-USD,crypto
TOTM-USD,crypto
UCH-USD,crypto
BITX-USD,crypto
COIN-USD,crypto
CHONK-USD,crypto
CHESS-USD,crypto
BUY-USD,crypto
MCM-USD,crypto
CAJ-USD,crypto
GUM-USD,crypto
PLA-USD,crypto
KDG-USD,crypto
BUZZ-USD,crypto
WISH-USD,crypto
TTH-USD,crypto
DMT-USD,crypto
OKS-USD,crypto
BOB-USD,crypto
MAX-USD,crypto
DTA-USD,crypto
GHOST-USD,crypto
ETHA-USD,crypto
FOUR-USD,crypto
ROGUE-USD,crypto
DRT-USD,crypto
CHX-USD,crypto
DYNA-USD,crypto
UUU-USD,crypto
TYPE-USD,crypto
LCS-USD,crypto
LINKA-USD,crypto
VIPS-USD,crypto
RED-USD,crypto
DAPS-USD,crypto
CERES-USD,crypto
NDR-USD,crypto
YF-DAI-USD,crypto
FERA-USD,crypto
KIT-USD,crypto
MBC-USD,crypto
YBO-USD,crypto
MNE-USD,crypto
OGO-USD,crypto
LXT-USD,crypto
SHIELD-USD,crypto
DRC-USD,crypto
GSAIL-USD,crypto
PAR-USD,crypto
REM-USD,crypto
GMC-USD,crypto
CORGIB-USD,crypto
2KEY-USD,crypto
PEOS-USD,crypto
TN-USD,crypto
FYP-USD,crypto
TCH-USD,crypto
COFI-USD,crypto
DTH-USD,crypto
LEG-USD,crypto
PHT-USD,crypto
ION-USD,crypto
XCT-USD,crypto
CRX-USD,crypto
FOC-USD,crypto
LONDON-USD,crypto
SHIP-USD,crypto
AZ-USD,crypto
SUB-USD,crypto
DOGES-USD,crypto
MUE-USD,crypto
MODIC-USD,crypto
WARP-USD,crypto
NDX-USD,crypto
XLT-USD,crypto
PERI-USD,crypto
NEXT-USD,crypto
MONK-USD,crypto
PHI-USD,crypto
PFL-USD,crypto
GST-USD,crypto
UFARM-USD,crypto
GLS-USD,crypto
VRC-USD,crypto
PIZZA-USD,crypto
MEME-USD,crypto
SHAKE-USD,crypto
KT-USD,crypto
MOTO-USD,crypto
MIB-USD,crypto
TRC-USD,crypto
HEROEGG-USD,crypto
ZXC-USD,crypto
SHOE-USD,crypto
ATMOS-USD,crypto
ORB-USD,crypto
BANCA-USD,crypto
STM-USD,crypto
RASKO-USD,crypto
WQT-USD,crypto
yTSLA-USD,crypto
FRC-USD,crypto
BOX-USD,crypto
BTZC-USD,crypto
L3P-USD,crypto
FACE-USD,crypto
CNB-USD,crypto
ELEC-USD,crypto
XLAB-USD,crypto
MANNA-USD,crypto
HTN-USD,crypto
ATL-USD,crypto
EXE-USD,crypto
GFX-USD,crypto
PGN-USD,crypto
ARATA-USD,crypto
DEB-USD,crypto
DONUT-USD,crypto
ALL-USD,crypto
XBP-USD,crypto
BWX-USD,crypto
DVD-USD,crypto
BTO-USD,crypto
PASC-USD,crypto
XPD-USD,crypto
AMA-USD,crypto
ZEBI-USD,crypto
DAY-USD,crypto
DFS-USD,crypto
RBT-USD,crypto
DEAL-USD,crypto
ESBC-USD,crypto
JAR-USD,crypto
RNT-USD,crypto
QUIN-USD,crypto
EQL-USD,crypto
SKYRIM-USD,crypto
AMA-USD,crypto
STAR-USD,crypto
RENDOGE-USD,crypto
FLUX-USD,crypto
NUG-USD,crypto
HTDF-USD,crypto
KWS-USD,crypto
RAGE-USD,crypto
MNC-USD,crypto
FONT-USD,crypto
GMAT-USD,crypto
NAAL-USD,crypto
DYT-USD,crypto
OLXA-USD,crypto
UBEX-USD,crypto
MAX-USD,crypto
CTT-USD,crypto
ASTRO-USD,crypto
VNXLU-USD,crypto
CUR-USD,crypto
FUEL-USD,crypto
HTZ-USD,crypto
VNT-USD,crypto
TONS-USD,crypto
FDZ-USD,crypto
NBOT-USD,crypto
DPY-USD,crypto
QWC-USD,crypto
IND-USD,crypto
BC-USD,crypto
EKT-USD,crypto
RISE-USD,crypto
TOL-USD,crypto
BECN-USD,crypto
BASE-USD,crypto
AFEN-USD,crypto
SWACE-USD,crypto
RATING-USD,crypto
KOBO-USD,crypto
WG0-USD,crypto
VIG-USD,crypto
BNF-USD,crypto
BUNNY-USD,crypto
CAI-USD,crypto
SFUEL-USD,crypto
IXT-USD,crypto
PIPT-USD,crypto
VOX-USD,crypto
VIP-USD,crypto
SETH-USD,crypto
APL-USD,crypto
BDS-USD,crypto
OCT-USD,crypto
PRARE-USD,crypto
PHX-USD,crypto
KSEED-USD,crypto
IHT-USD,crypto
AC-USD,crypto
DHV-USD,crypto
SSTX-USD,crypto
NSR-USD,crypto
XTP-USD,crypto
NUTS-USD,crypto
TANGO-USD,crypto
IRD-USD,crypto
ALI-USD,crypto
YIELD-USD,crypto
HYC-USD,crypto
LYNC-USD,crypto
TYPH-USD,crypto
CATT-USD,crypto
PIRATE-USD,crypto
TRL-USD,crypto
ARQ-USD,crypto
SUB-USD,crypto
INK-USD,crypto
COLL-USD,crypto
LOG-USD,crypto
FIC-USD,crypto
AXIS-USD,crypto
SHDW-USD,crypto
NSURE-USD,crypto
PYLON-USD,crypto
ECOM-USD,crypto
ETHYS-USD,crypto
USNBT-USD,crypto
BREW-USD,crypto
CLR-USD,crypto
STX-USD,crypto
NIX-USD,crypto
OWN-USD,crypto
DRC-USD,crypto
HUSH-USD,crypto
BOBO-USD,crypto
ZPT-USD,crypto
BURN-USD,crypto
XIOT-USD,crypto
BCPT-USD,crypto
KGO-USD,crypto
MOJO-USD,crypto
KFT-USD,crypto
AITRA-USD,crypto
MASK-USD,crypto
DIT-USD,crypto
ACM-USD,crypto
TNC-USD,crypto
AZUKI-USD,crypto
WSPP-USD,crypto
FAIR-USD,crypto
N8V-USD,crypto
ZRC-USD,crypto
TTN-USD,crypto
ZENI-USD,crypto
JET-USD,crypto
SCB-USD,crypto
XGT-USD,crypto
MOONS-USD,crypto
GEO-USD,crypto
CBM-USD,crypto
ZUM-USD,crypto
PASS-USD,crypto
CDL-USD,crypto
BALPHA-USD,crypto
ADC-USD,crypto
SHARE-USD,crypto
NASH-USD,crypto
ETHY-USD,crypto
DINO-USD,crypto
GEM-USD,crypto
XIV-USD,crypto
IONC-USD,crypto
TDX-USD,crypto
BITG-USD,crypto
SMTY-USD,crypto
WCK-USD,crypto
SAMU-USD,crypto
VIT-USD,crypto
MOTA-USD,crypto
TENT-USD,crypto
ANON-USD,crypto
